BlockChain,MQTT
0.007,0.002
0.015,0.008
0.025,0.009
0.029,0.011
0.033,0.012
0.036,0.012
0.04,0.013
0.044,0.014
0.047,0.015
0.054,0.016
0.058,0.017
0.062,0.018
0.066,0.019
0.07,0.02
0.078,0.021
0.083,0.021
0.098,0.022
0.103,0.023
0.107,0.024
0.111,0.026
0.115,0.027
0.121,0.028
0.13,0.03
0.134,0.031
0.146,0.032
0.15,0.038
0.158,0.041
0.165,0.043
0.197,0.044
0.202,0.045
0.21,0.046
0.216,0.047
0.22,0.048
0.228,0.049
0.233,0.052
0.237,0.053
0.241,0.054
0.245,0.054
0.25,0.055
0.255,0.056
0.261,0.058
0.266,0.06
0.27,0.06
0.273,0.061
0.277,0.062
0.283,0.062
0.301,0.063
0.305,0.063
0.309,0.064
0.314,0.065
0.319,0.066
0.323,0.067
0.333,0.067
0.337,0.068
0.346,0.068
0.355,0.069
0.361,0.069
0.365,0.07
0.369,0.071
0.376,0.071
0.383,0.072
0.389,0.073
0.422,0.073
0.432,0.074
0.454,0.074
0.46,0.075
0.464,0.075
0.468,0.076
0.474,0.076
0.486,0.077
0.491,0.077
0.507,0.077
0.512,0.078
0.515,0.078
0.519,0.083
0.523,0.083
0.526,0.084
0.531,0.084
0.538,0.085
0.542,0.085
0.546,0.086
0.549,0.086
0.553,0.087
0.557,0.087
0.563,0.088
0.566,0.088
0.57,0.088
0.578,0.089
0.581,0.089
0.585,0.09
0.59,0.09
0.594,0.091
0.6,0.091
0.624,0.091
0.63,0.094
0.638,0.095
0.641,0.095
0.645,0.096
0.648,0.096
0.651,0.096
0.655,0.097
0.659,0.097
0.665,0.098
0.668,0.098
0.671,0.099
0.674,0.099
0.677,0.1
0.681,0.1
0.684,0.101
0.69,0.101
0.695,0.101
0.712,0.102
0.717,0.102
0.72,0.103
0.723,0.103
0.728,0.103
0.731,0.104
0.736,0.104
0.747,0.105
0.75,0.105
0.754,0.106
0.759,0.106
0.764,0.106
0.77,0.107
0.776,0.108
0.784,0.108
0.794,0.109
0.804,0.109
0.819,0.11
0.822,0.11
0.826,0.11
0.831,0.111
0.833,0.111
0.842,0.112
0.847,0.112
0.851,0.112
0.855,0.113
0.858,0.113
0.861,0.113
0.865,0.114
0.87,0.114
0.874,0.115
0.878,0.115
0.882,0.115
0.886,0.116
0.889,0.116
0.895,0.117
0.898,0.117
0.901,0.117
0.917,0.118
0.921,0.118
0.924,0.119
0.927,0.119
0.93,0.12
0.934,0.12
0.952,0.12
0.956,0.121
0.966,0.121
0.977,0.121
0.988,0.122
0.993,0.122
0.998,0.122
1.016,0.123
1.048,0.123
1.057,0.124
1.062,0.124
1.069,0.124
1.074,0.125
1.078,0.125
1.083,0.126
1.088,0.126
1.092,0.126
1.096,0.127
1.101,0.127
1.129,0.127
1.138,0.128
1.145,0.128
1.151,0.129
1.155,0.129
1.176,0.129
1.182,0.13
1.186,0.13
1.191,0.13
1.198,0.131
1.205,0.131
1.261,0.132
1.265,0.132
1.271,0.132
1.276,0.133
1.298,0.133
1.304,0.134
1.314,0.134
1.336,0.135
1.344,0.135
1.358,0.135
1.364,0.136
1.368,0.136
1.373,0.137
1.376,0.137
1.382,0.137
1.39,0.138
1.41,0.138
1.452,0.138
1.46,0.139
1.464,0.139
1.47,0.139
1.479,0.14
1.486,0.14
1.492,0.141
1.501,0.141
1.509,0.141
1.539,0.142
1.546,0.142
1.559,0.142
1.566,0.143
1.571,0.143
1.576,0.144
1.591,0.144
1.596,0.145
1.603,0.145
1.612,0.145
1.631,0.146
1.65,0.147
1.657,0.147
1.667,0.147
1.675,0.148
1.679,0.148
1.684,0.148
1.692,0.149
1.695,0.149
1.714,0.15
1.719,0.15
1.738,0.15
1.742,0.151
1.747,0.151
1.751,0.152
1.755,0.152
1.764,0.172
1.771,0.173
1.779,0.174
1.784,0.174
1.788,0.178
1.795,0.179
1.804,0.181
1.811,0.182
1.82,0.184
1.839,0.185
1.842,0.185
1.854,0.186
1.863,0.187
1.871,0.187
1.908,0.187
1.958,0.188
1.973,0.188
2,0.189
3.151,0.19
3.17,0.19
3.173,0.19
3.176,0.191
3.18,0.191
3.182,0.191
3.187,0.192
3.189,0.192
3.198,0.199
3.201,0.199
3.205,0.199
3.209,0.2
3.216,0.2
3.219,0.2
3.225,0.201
3.231,0.201
3.237,0.202
3.242,0.202
3.247,0.203
3.254,0.203
3.269,0.203
3.276,0.204
3.279,0.204
3.285,0.204
3.302,0.205
3.305,0.205
3.311,0.206
3.316,0.206
3.322,0.206
3.327,0.207
3.337,0.207
3.34,0.207
3.351,0.208
3.36,0.208
3.39,0.208
3.398,0.209
3.405,0.209
3.41,0.209
3.414,0.21
3.419,0.21
3.426,0.21
3.441,0.211
3.46,0.211
3.479,0.211
3.484,0.211
3.486,0.212
3.492,0.212
3.495,0.212
3.518,0.213
3.522,0.213
3.528,0.213
3.535,0.214
3.538,0.214
3.543,0.214
3.547,0.214
3.553,0.215
3.561,0.215
3.581,0.215
3.586,0.215
3.592,0.216
3.596,0.216
3.61,0.216
3.615,0.217
3.625,0.217
3.633,0.217
3.646,0.217
3.653,0.218
3.656,0.218
3.666,0.218
3.682,0.219
3.687,0.219
3.694,0.219
3.7,0.22
3.71,0.22
3.716,0.22
3.723,0.221
3.729,0.221
3.739,0.221
3.745,0.221
3.76,0.222
3.769,0.222